scorer,,,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
bodyparts,,,Dig1,Dig1,Dig2,Dig2,Dig3,Dig3,Dig4,Dig4,PD,PD
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-12-14_10-50-25_1,img001834.png,286.31550268941004,284.6759684508506,264.32187802287143,288.83692446884436,259.86371086073524,282.5954904418537,262.5386111580169,272.49031154101164,,
labeled-data,2023-12-14_10-50-25_1,img002329.png,,,505.84685108776273,276.42889126835865,492.52108976354367,275.9529712210651,478.24348834473756,270.87649071660076,,
labeled-data,2023-12-14_10-50-25_1,img002378.png,419.0927437001634,288.42413660650766,400.7093905643661,297.6158131744063,390.5398760637122,294.2911642030387,373.52549603377213,286.46846074099733,,
labeled-data,2023-12-14_10-50-25_1,img003348.png,290.8321313187389,286.32772916901143,268.6517593481519,288.73863916581433,262.3833933564643,284.15791017188883,264.07103035422637,273.06772418659534,6.730324953517183,324.668998596463
labeled-data,2023-12-14_10-50-25_1,img005258.png,448.04733347882484,291.3400844884079,427.42413142943815,301.0171254500432,418.2230105150964,297.20976507169485,407.9114094904031,290.3882443938208,,
labeled-data,2023-12-14_10-50-25_1,img006775.png,435.25200534208204,282.0282525181426,420.8157639075114,291.2293734324844,413.0424031350503,288.05657311719415,399.7166418108312,280.1245723289685,,
labeled-data,2023-12-14_10-50-25_1,img007226.png,,,452.18620733738214,281.7519880570957,442.3505263599824,279.689667852157,430.76980520917294,271.5990270481669,,
labeled-data,2023-12-14_10-50-25_1,img007422.png,,,440.959286376455,277.2961571096814,429.02966359684183,275.5360488307221,419.8379870289432,262.6285881183538,,
labeled-data,2023-12-14_10-50-25_1,img008757.png,,,408.21336658329636,305.77363942280556,397.7898644884014,301.6557126692668,387.62373281560264,292.51906268485277,,
labeled-data,2023-12-14_10-50-25_1,img009447.png,407.6244605591871,288.40563810851665,390.265908582206,297.0849140970072,380.8633595946746,293.70964010148316,370.7375376081023,285.99472811171375,,
labeled-data,2023-12-14_10-50-25_1,img012887.png,,,525.1409604153132,271.9849777969788,515.0151384287409,274.63697879346205,498.1387684511204,270.0562497995365,,
labeled-data,2023-12-14_10-50-25_1,img013177.png,,,514.8526551024183,276.939439042484,501.5926501200022,278.3859850405658,487.6093721385452,273.32307404727965,,
labeled-data,2023-12-14_10-50-25_1,img013712.png,441.11536132690924,286.09181785877735,423.5157183502478,294.04782084822705,413.1488053639952,292.360183850465,401.57643737934114,284.6452718606956,,
labeled-data,2023-12-14_10-50-25_1,img014586.png,347.3346704076398,271.42874754520784,323.47542484841347,277.49134272828996,317.4128296653314,267.9085309872892,316.04385655947414,256.5656109673291,,
labeled-data,2023-12-14_10-50-25_1,img017373.png,337.12891669844294,279.81373169157996,313.4652387257677,285.48519170156,304.46912974442,281.18270479743717,298.01539938823583,269.6442171909261,,
labeled-data,2023-12-14_10-50-25_1,img018672.png,493.326954675763,287.31238518973936,480.0669496933468,297.67929817599196,469.7000367070942,296.4738431775905,455.9578497253175,290.44656818558315,,
labeled-data,2023-12-14_10-50-25_1,img019868.png,413.26222879084673,299.29677392580015,391.80512981930065,304.8418669184469,382.88476283112976,301.9487749222834,377.0985788388027,294.233862932514,,
labeled-data,2023-12-14_10-50-25_1,img024599.png,,,427.16527631582426,281.6925174164203,415.910815901104,277.7686160896632,405.5439029148514,269.33043110085293,7.714412741064672,322.92576678480685
labeled-data,2023-12-14_10-50-25_1,img025953.png,458.14419339819426,285.8133816052192,443.5493119478591,294.0626624249739,432.2858708285787,292.7935422988578,419.75330958318216,285.02018152639664,,
labeled-data,2023-12-14_10-50-25_1,img029938.png,,,432.27556852286745,283.95778529777647,421.01212740358704,280.3090649351926,410.7005263788937,270.9493040050864,,
labeled-data,2023-12-14_10-50-25_1,img030218.png,,,410.7193493885767,288.0140276930443,399.4559082692963,284.9998673935185,390.5720673864836,278.4956267471735,8.064862043493871,322.5904247227499
labeled-data,2023-12-14_10-50-25_1,img030337.png,,,410.9351379080523,281.34216447692546,400.17892064774526,278.01751550555787,391.1828116663977,269.80367687041434,,
labeled-data,2023-12-14_10-50-25_1,img030573.png,,,419.5881799945596,278.9856968112671,407.2674220418443,274.8787774936954,397.88017788739467,265.4915333392457,,
labeled-data,2023-12-14_10-50-25_1,img030874.png,420.58975937350107,267.5261108418012,409.59294704023176,267.2288996976588,402.1626684366714,253.85439821125016,,,,
labeled-data,2023-12-14_10-50-25_1,img031366.png,452.25603602136744,286.58176198193604,432.89484495281494,292.2532219919161,419.98738424044654,288.34187026089535,412.75138353805823,276.4122474812822,,
labeled-data,2023-12-14_10-50-25_1,img031826.png,449.0552165672623,282.17236860668254,431.12889478587226,288.8352492687921,418.5963335404758,285.66244895350184,412.4093729256598,278.9995682913923,,
labeled-data,2023-12-14_10-50-25_1,img034172.png,432.17490802458326,276.5894097120442,418.3732266530706,284.0454904529763,408.53754567567086,280.7140501219215,399.1777847455646,272.46476930216687,,
labeled-data,2023-12-14_10-50-25_1,img034363.png,436.40659946072356,279.6535323212224,421.9703580261529,288.8546532355641,411.8173970172241,286.4750529990964,402.45763608711786,278.8603322423998,,
labeled-data,2023-12-14_10-50-25_1,img035534.png,425.4044341095944,282.7560174635096,410.49227262773013,290.05345818867715,398.91155147692075,286.2460978103288,389.2345105152855,277.8381769748097,,
labeled-data,2023-12-14_10-50-25_1,img035888.png,446.299892016114,276.3402178513438,432.97413069189497,284.43085865533396,422.1866096199081,283.47901856074685,409.9713284060406,276.3402178513438,,
labeled-data,2023-12-14_10-50-25_1,img036518.png,425.9985014635505,280.8360898410803,411.7209000447443,289.2440106765995,400.14017889393494,285.7539303297802,390.3044979165351,277.5046495100255,,
labeled-data,2023-12-14_10-50-25_1,img036685.png,435.77928199604145,285.16036647196785,420.2325604511192,294.04420735478055,409.44503937913237,290.0782069606677,397.7056782125584,281.51164610938406,,
labeled-data,2023-12-14_10-50-25_1,img037642.png,402.2681539916442,287.9463663294513,378.60447601896897,294.59566427218647,369.80393462417237,291.6621504739209,364.71917737384547,281.88377114636916,,
labeled-data,2023-12-14_10-50-25_1,img037900.png,427.37316212749806,290.86065933334413,409.92276039340175,299.58586020039235,401.356199542118,296.25441986933754,391.9964386120118,287.37057898652483,,
labeled-data,2023-12-14_10-50-25_1,img038086.png,428.6814387614115,283.2044001447854,412.50015715343125,292.4055210591271,401.7126360814444,288.4395206650143,391.5596750725156,281.1420799398467,,
