scorer,,,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
bodyparts,,,Dig1,Dig1,Dig2,Dig2,Dig3,Dig3,Dig4,Dig4,PD,PD
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-12-14_09-37-23_1,img04735.png,392.35891248575035,298.93559902941314,368.3999731772314,306.4227675633253,356.8762442163405,303.0372652697302,349.71460474912016,293.79223977568216,,
labeled-data,2023-12-14_09-37-23_1,img09683.png,376.5148234059173,278.63640237076027,355.06409878951274,288.7096481280261,346.40384774436376,286.63606689186366,335.6700154630523,276.7560621783838,,
labeled-data,2023-12-14_09-37-23_1,img12098.png,428.42450958347473,272.7969103209273,407.56672185501725,281.3351859992432,398.66252007620204,279.13962939624764,386.8309094933928,268.28382174810315,,
labeled-data,2023-12-14_09-37-23_1,img12915.png,401.0913902620507,280.25988654421616,381.8128692002143,290.0845174699597,373.2249480026058,288.8674165762632,359.5003382040793,279.31637233050503,,
labeled-data,2023-12-14_09-37-23_1,img13559.png,408.7310863186826,279.37805609901847,388.9710768917229,289.0141100788321,381.16465341440545,285.23287370700655,368.8451413642639,273.5232384910304,,
labeled-data,2023-12-14_09-37-23_1,img16261.png,428.1155338393381,282.35607969758735,404.8084500706292,291.07744007555584,396.3878262574183,288.0700744279805,389.0197804208587,279.9501871795271,,
labeled-data,2023-12-14_09-37-23_1,img17781.png,415.6552492329587,300.87757173327077,398.3628967594004,307.193039593179,387.38601214575044,305.0878836398762,375.50691783782787,293.05842104957486,,
labeled-data,2023-12-14_09-37-23_1,img19073.png,417.73517166423323,293.2993316012136,399.5688729713489,299.60192502527553,390.30035323008144,297.192109892546,381.03183348881396,288.85044212540527,,
labeled-data,2023-12-14_09-37-23_1,img19451.png,375.22729655635186,291.9893565493845,353.5178827208903,299.3020012097505,345.0626373323422,295.1886385882946,334.3221904874296,286.73339319974644,,
labeled-data,2023-12-14_09-37-23_1,img19800.png,467.61288731276943,294.227336205635,451.0723762511051,304.15164284263363,439.3436502255612,301.4450137598158,425.50976824671466,293.9265996408775,,
labeled-data,2023-12-14_09-37-23_1,img20489.png,454.3720281233443,294.70741797313707,438.4301741683642,302.1222337661511,427.86406166331926,298.0440850799934,416.18572678932225,290.44389889215404,,
labeled-data,2023-12-14_09-37-23_1,img20796.png,425.6027021595178,297.41500796134096,406.6562985797931,305.68526349217314,397.63420163706706,302.37716127984027,386.35658045865955,294.70837887852315,,
labeled-data,2023-12-14_09-37-23_1,img21232.png,423.0949715317521,297.4647686538312,406.41163599747057,303.9527324727184,397.1431162562031,300.05995418138605,385.0940405925553,291.34754562459466,10.215250608442858,321.68465981561883
labeled-data,2023-12-14_09-37-23_1,img21387.png,421.07147354757177,290.9907006485455,405.58060195977,299.65095169369454,396.31047408045555,295.8697153218689,383.1371344624824,286.72156280938754,,
labeled-data,2023-12-14_09-37-23_1,img21489.png,425.43238766811396,295.92179545041915,408.9344225286578,302.78050005895705,399.2951619977396,299.8145737417515,385.94849357031444,290.7314243953093,,
labeled-data,2023-12-14_09-37-23_1,img21703.png,468.8109155714518,289.14474478105683,453.42517280094773,299.3401164964511,441.1907267424747,296.3741901792455,429.8831326581283,288.40326320175546,,
labeled-data,2023-12-14_09-37-23_1,img22035.png,429.43249161650897,291.1884013390958,412.7491560822275,300.27155068553793,403.8513771306107,296.1934019993803,389.94859751870945,287.4809934425888,,
labeled-data,2023-12-14_09-37-23_1,img22513.png,393.050768360725,290.3235846356494,371.9185433506351,297.7384004286634,363.7622459783197,294.7724741114578,352.6400222887987,286.6161767391424,,
labeled-data,2023-12-14_09-37-23_1,img25161.png,335.55290876071064,291.3458371938317,314.23531335579537,296.53620824894153,305.522904799004,292.4580595627838,299.7764225594181,283.1895398215163,,
labeled-data,2023-12-14_09-37-23_1,img25957.png,414.9082392008136,293.11547729726385,394.7028661648505,302.198626643706,384.87823523910697,299.7888115109765,373.756011549586,286.25677268872596,,
labeled-data,2023-12-14_09-37-23_1,img27005.png,,,347.07232563142907,292.78051172663424,336.5062131263842,287.77551106634974,329.0913973333702,277.2093985613048,,
labeled-data,2023-12-14_09-37-23_1,img27669.png,,,386.7095259334451,292.4656852736061,375.77267263874944,289.49975895640046,364.09433776475237,284.12401750646535,,
labeled-data,2023-12-14_09-37-23_1,img27892.png,427.6159932457959,289.50938853334804,413.4477442163368,297.2790734849869,401.7932167888785,294.9938720286225,392.8809311090574,285.39602591189214,8.053612342187051,323.2489715560561
labeled-data,2023-12-14_09-37-23_1,img28521.png,388.72126487199085,288.76571128901446,368.72228331561485,297.78780823174054,359.70018637288877,294.1789694546501,348.27219691210246,285.15687251192406,,
labeled-data,2023-12-14_09-37-23_1,img28550.png,387.47771246400185,289.3603670558467,368.93745670537294,297.65469200049654,359.1794273587262,293.7514802618378,348.44559507741474,284.48135238252337,,
labeled-data,2023-12-14_09-37-23_1,img29016.png,419.91153143033523,292.5275734608433,402.48671431675234,300.8692412279841,393.4035649703102,297.3472037263025,381.91060049113844,287.70794319538425,,
labeled-data,2023-12-14_09-37-23_1,img29185.png,418.35763819453257,287.4829736574867,402.8697051095196,297.4072802944853,392.94539847252094,295.0013877764251,380.91593588221957,284.47560800991135,,
labeled-data,2023-12-14_09-37-23_1,img30466.png,365.54305509139,270.98348714551923,347.19812464118036,280.75742550013905,339.22860567510577,277.2989550054274,328.55245762621325,266.0213338270199,,
labeled-data,2023-12-14_09-37-23_1,img32846.png,407.8059037464658,286.56998928282394,391.105487997938,293.88626242408714,379.6125235187663,291.8471880810083,369.04641101372135,282.57866833974083,,
labeled-data,2023-12-14_09-37-23_1,img33203.png,,,401.37845216663777,290.003739090098,389.7239247391795,287.26149734246076,376.6982764379026,278.12069151700325,,
labeled-data,2023-12-14_09-37-23_1,img33361.png,403.45623644247485,286.22386747707526,385.17462479155995,296.27875388507846,375.3482585291931,295.1361531568963,363.00817066482557,285.3097868945295,,
labeled-data,2023-12-14_09-37-23_1,img35049.png,433.5591001034205,285.1282846572757,411.39264597668614,294.0405703370967,401.33775956868294,291.29832858945946,393.5680746170441,283.3001234921842,,
labeled-data,2023-12-14_09-37-23_1,img35084.png,431.6282211406639,287.46155579986964,410.68136652539937,294.6910011980583,401.7835875737826,291.53970448602735,392.32969743768973,284.1248886930133,,
labeled-data,2023-12-14_09-37-23_1,img35241.png,,,395.0610143489445,301.80620801735574,384.6802722387249,299.5817632794516,375.4117524974574,286.42046524685173,,
